Style#	Style Desc	Division	Label	Category	Clr	Clr Desc	Color NRF	Size Range	UPC Code	Style Disc	Color Disc	Size Type	Size	Price Method	Price	MSRP	Seas	Cost	Curr
A0111300	BLACKOUT POLO S/S	01	A	1001	BLK	"BLACK"	001	102	887188003388			XX	L	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S 11"	01	A	1001	BLK	BLACK	001	102	887188003449			XX	M	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLK	BLACK	001	102	887188003531			XX	S	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLK	BLACK	001	102	887188003418			XX	XL	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLK	BLACK	001	102	887188003487			XX	XS	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLK	BLACK	001	102	887188003579			XX	XXL	S	16.5	35	HO13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLU	BLUE	400	102	887215478318			XX	L	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLU	BLUE	400	102	887215478301			XX	M	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLU	BLUE	400	102	887215478295			XX	S	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLU	BLUE	400	102	887215478325			XX	XL	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLU	BLUE	400	102	887215478288			XX	XS	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	BLU	BLUE	400	102	887215478332			XX	XXL	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	CDG	CEDAR GREEN	309	102	887215478370			XX	L	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	CDG	CEDAR GREEN	309	102	887215478363			XX	M	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	CDG	CEDAR GREEN	309	102	887215478356			XX	S	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	CDG	CEDAR GREEN	309	102	887215478387			XX	XL	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	CDG	CEDAR GREEN	309	102	887215478349			XX	XS	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	CDG	CEDAR GREEN	309	102	887215478394			XX	XXL	S	16.5	35	FA13	7.02	USD
A0111300	BLACKOUT POLO S/S	01	A	1001	FRB	FREE BLUE Marled	412	102	887188003616			XX	L	S	16.5	35	FA13	7.02	USD
